date,description,amount,currency,type
2024-10-01,Pharmacy Express,-346.12,USD,debit
2024-10-02,Insurance Premium,-247.91,USD,debit
2024-10-02,Garden Center,-35.08,USD,debit
2024-10-02,Amazon Marketplace,-198.95,USD,debit
2024-10-02,Insurance Premium,-247.91,USD,debit
2024-10-04,Charity Donation,-119.78,USD,debit
2024-10-04,Charity Donation,-119.78,USD,debit
2024-10-04,Starbucks,-221.24,USD,debit
2024-10-04,Spotify Refund,-349.85,USD,debit
2024-10-05,Electronics Hub,-289.19,USD,debit
2024-10-07,Domino's Pizza,-15.15,USD,debit
2024-10-07,PayPal Transfer,-229.23,USD,debit
2024-10-08,Apple Store,-130.55,USD,debit
2024-10-08,Parking Fine,-318.93,USD,debit
2024-10-08,Dental Clinic,-197.75,USD,debit
2024-10-10,Hotel Booking REFUND,108.25,USD,credit
2024-10-12,Shoe Outlet,-99.35,USD,debit
2024-10-12,Government Fees,-301.09,USD,debit
2024-10-12,Car Wash,-101.7,USD,debit
2024-10-13,Chevron Gas,-344.07,USD,debit
2024-10-13,Dental Clinic,-168.8,USD,debit
2024-10-13,Burger King,-235.58,USD,debit
2024-10-14,Insurance Premium,-296.88,USD,debit
2024-10-14,Lyft Ride,-188.05,USD,debit
2024-10-14,McDonald's,-239.76,USD,debit
2024-10-16,Electric Bill,-222.67,USD,debit
2024-10-16,Train Ticket,-242.96,USD,debit
2024-10-17,Gym Day Pass,-142.55,USD,debit
2024-10-17,Credit Card Payment,-233.66,USD,debit
2024-10-17,Credit Card Payment,-233.66,USD,debit
2024-10-17,Farmers Market,-186.6,USD,debit
2024-10-20,Domino's Pizza,-19.12,USD,debit
2024-10-20,Amazon Marketplace,-67.42,USD,debit
2024-10-20,Electronics Hub REFUND,9.59,USD,credit
2024-10-21,Gym Day Pass,-137.51,USD,debit
2024-10-22,Book Store,-87.54,USD,debit
2024-10-22,Butcher Shop REFUND,31.48,USD,credit
2024-10-22,Gas Station,-120.5,USD,debit
2024-10-23,Liquor Store,-118.27,USD,debit
2024-10-23,Water Bill,-269.83,USD,debit
2024-10-24,Movie Tickets,-218.78,USD,debit
2024-10-25,Tax Refund,-91.91,USD,debit
2024-10-25,Target,-64.36,USD,debit
2024-10-25,Internet Payment,-261.42,USD,debit
2024-10-27,Internet Payment,-124.84,USD,debit
2024-10-28,IKEA,-18.62,USD,debit
2024-10-28,Subway,-93.8,USD,debit
2024-10-28,Fish Market,-108.69,USD,debit
2024-10-29,Movie Tickets,-336.32,USD,debit
2024-11-01,Subway,-282.93,USD,debit
2024-11-01,Hardware Depot,-27.7,USD,debit
2024-11-02,Grammarly Subscription,-30.17,USD,debit
2024-11-04,Apple Store,-203.12,USD,debit
2024-11-05,Subway,-311.12,USD,debit
2024-11-05,GitLab Subscription,-4.56,USD,debit
2024-11-05,Dashlane Subscription,-3.03,USD,debit
2024-11-05,Burger King,-214.59,USD,debit
2024-11-06,Lottery,-173.04,USD,debit
2024-11-06,Charity Donation,-118.61,USD,debit
2024-11-08,Government Fees REFUND,66.9,USD,credit
2024-11-08,Liquor Store,-49.77,USD,debit
2024-11-09,Surfshark Subscription,-2.79,USD,debit
2024-11-09,Peacock Subscription,-6.5,USD,debit
2024-11-10,Gas Station,-6.95,USD,debit
2024-11-10,Starbucks,-323.46,USD,debit
2024-11-10,Hulu Subscription,-12.22,USD,debit
2024-11-11,Pet Store,-162.6,USD,debit
2024-11-11,Best Buy,-128.31,USD,debit
2024-11-12,Uber One Subscription,-9.34,USD,debit
2024-11-12,Local Diner,-103.39,USD,debit
2024-11-13,Garden Center,-273.11,USD,debit
2024-11-13,Amazon Refund REFUND,43.75,USD,credit
2024-11-13,Fish Market,-228.33,USD,debit
2024-11-13,Coursera Plus Subscription,-39.83,USD,debit
2024-11-14,Shoe Outlet,-20.28,USD,debit
2024-11-15,Proton VPN Subscription,-4.61,USD,debit
2024-11-15,Venmo Payment,-319.68,USD,debit
2024-11-16,Amazon Refund,-181.93,USD,debit
2024-11-16,Pet Store,-69.13,USD,debit
2024-11-16,Brilliant Subscription,-13.58,USD,debit
2024-11-17,Strava Subscription,-7.3,USD,debit
2024-11-17,Book Store,-134.75,USD,debit
2024-11-18,Book Store,-15.52,USD,debit
2024-11-18,Bakery,-50.25,USD,debit
2024-11-19,LinkedIn Learning Subscription,-29.77,USD,debit
2024-11-19,Netflix Subscription,-15.74,USD,debit
2024-11-19,Proton Mail Subscription,-4.55,USD,debit
2024-11-19,OneDrive Subscription,-6.72,USD,debit
2024-11-20,Parking Fine,-115.98,USD,debit
2024-11-20,Dental Clinic,-174.04,USD,debit
2024-11-20,Shell Gas Station,-222.13,USD,debit
2024-11-21,Farmers Market,-113.21,USD,debit
2024-11-21,Water Bill,-28.78,USD,debit
2024-11-21,YouTube Music Subscription,-10.66,USD,debit
2024-11-22,IKEA,-35.38,USD,debit
2024-11-22,GitHub Subscription,-4.35,USD,debit
2024-11-23,Calm Subscription,-5.96,USD,debit
2024-11-24,Shell Gas Station,-199.22,USD,debit
2024-11-25,Target,-284.59,USD,debit
2024-11-26,Microsoft 365 Subscription,-7.68,USD,debit
2024-11-26,Local Diner,-200.97,USD,debit
2024-11-26,Gas Station,-167.6,USD,debit
2024-11-26,Government Fees,-317.62,USD,debit
2024-11-27,Thrift Store,-159.44,USD,debit
2024-11-27,Walmart,-74.97,USD,debit
2024-11-27,Walmart,-74.97,USD,debit
2024-11-28,Charity Donation,-44.18,USD,debit
2024-12-01,GitLab Subscription,-4.56,USD,debit
2024-12-01,Shoe Outlet,-341.03,USD,debit
2024-12-02,Local Diner,-235.46,USD,debit
2024-12-02,Local Diner,-332.66,USD,debit
2024-12-02,Amazon Marketplace,-126.95,USD,debit
2024-12-04,Dashlane Subscription,-3.6,USD,debit
2024-12-04,Movie Tickets,-268.89,USD,debit
2024-12-04,Car Wash,-231.32,USD,debit
2024-12-04,Hardware Depot,-54.74,USD,debit
2024-12-05,Grammarly Subscription,-29.95,USD,debit
2024-12-05,Lottery,-232.15,USD,debit
2024-12-05,Electronics Hub,-100.96,USD,debit
2024-12-06,Amazon Marketplace,-180.86,USD,debit
2024-12-07,Convenience Store,-216.55,USD,debit
2024-12-07,Apple Store,-161.16,USD,debit
2024-12-08,Domino's Pizza,-58.93,USD,debit
2024-12-09,Peacock Subscription,-5.85,USD,debit
2024-12-09,Best Buy,-16.1,USD,debit
2024-12-09,Insurance Premium,-328.42,USD,debit
2024-12-10,Hulu Subscription,-13.49,USD,debit
2024-12-10,Surfshark Subscription,-5.84,USD,debit
2024-12-10,Toy Shop,-301.24,USD,debit
2024-12-11,IKEA,-46.86,USD,debit
2024-12-11,Toy Shop,-108.29,USD,debit
2024-12-11,McDonald's,-291.04,USD,debit
2024-12-12,Uber One Subscription,-9.32,USD,debit
2024-12-12,Bakery,-204.05,USD,debit
2024-12-12,Government Fees,-251.65,USD,debit
2024-12-12,Government Fees,-251.65,USD,debit
2024-12-13,Pharmacy Express,-349.71,USD,debit
2024-12-13,Coursera Plus Subscription,-39.45,USD,debit
2024-12-13,Credit Card Payment,-50.88,USD,debit
2024-12-15,Cinema City,-223.16,USD,debit
2024-12-15,Amazon Refund,-315.89,USD,debit
2024-12-15,Government Fees,-136.06,USD,debit
2024-12-15,Government Fees,-136.06,USD,debit
2024-12-16,Proton VPN Subscription,-4.95,USD,debit
2024-12-16,Gym Day Pass,-243.24,USD,debit
2024-12-16,Netflix Subscription,-16.67,USD,debit
2024-12-17,Pet Store,-308.7,USD,debit
2024-12-17,Parking Fine,-93.92,USD,debit
2024-12-17,Farmers Market,-111.74,USD,debit
2024-12-18,Strava Subscription,-9.09,USD,debit
2024-12-18,Charity Donation,-178.54,USD,debit
2024-12-18,LinkedIn Learning Subscription,-30.1,USD,debit
